timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783584621.6646833,16.0,88.0,13.663,15.529,1851562.5,0.0
1783584622.677871,50.8,88.4,13.721,15.529,15.548,9.974
1783584623.6940944,58.6,88.4,13.725,15.529,36.536,38.658
1783584624.704709,69.1,88.5,13.744,15.529,45.372,7.298
1783584625.7140002,59.0,88.0,13.66,15.529,1.305,0.0
1783584626.730414,57.5,87.3,13.56,15.529,3.221,6.242
1783584627.7401168,52.7,86.7,13.46,15.529,7.61,4.952
1783584628.7552063,50.9,86.1,13.371,15.529,1.337,4.926
1783584629.77217,57.8,86.0,13.349,15.529,1.394,0.0
1783584630.7817388,69.8,85.0,13.207,15.529,1.903,5.576
1783584631.8011901,77.5,84.8,13.167,15.529,3.609,5.353
1783584632.8141184,53.8,84.7,13.156,15.529,40.636,3.949
1783584633.8337367,56.2,84.8,13.166,15.529,2.871,0.0
1783584634.8516943,62.6,84.4,13.111,15.529,5.091,4.225
1783584635.8747966,85.8,84.4,13.11,15.529,13.324,4.085
1783584636.9506736,64.2,84.4,13.11,15.529,3.039,3.878
1783584637.9660141,77.1,84.3,13.097,15.529,5.413,0.0
1783584638.986054,75.6,84.5,13.119,15.529,19.701,2.941
1783584640.0059862,59.9,84.8,13.172,15.529,54.205,3.045
1783584641.023218,84.0,85.3,13.244,15.529,131.65,3.345
1783584642.0356991,84.4,85.8,13.325,15.529,137.897,0.224
1783584643.0888855,96.7,86.8,13.472,15.529,27.951,2.938
1783584644.1053426,98.5,86.5,13.438,15.529,28.715,2.951
1783584645.1217718,97.5,87.2,13.545,15.529,49.818,2.952
1783584646.1429677,99.4,87.7,13.618,15.529,33.141,0.0
1783584647.1601,95.9,88.0,13.66,15.529,39.331,3.092
1783584648.18131,97.2,88.2,13.69,15.529,24.06,1.958
1783584649.1980526,96.7,88.3,13.719,15.529,23.32,2.37
1783584650.2146711,97.7,88.6,13.762,15.529,33.237,0.115
1783584651.231157,98.5,88.7,13.776,15.529,29.148,7.813
1783584652.2476945,97.6,88.9,13.808,15.529,38.267,68.082
1783584653.2652676,97.5,89.4,13.887,15.529,65.325,1.344
1783584654.2823849,97.6,89.5,13.899,15.529,50.149,0.0
1783584655.2995508,96.7,89.9,13.958,15.529,51.391,2.83
1783584656.315743,98.7,90.3,14.018,15.529,46.858,1.968
1783584657.3326693,98.6,90.7,14.081,15.529,57.903,2.167
1783584658.3526928,95.7,90.9,14.119,15.529,46.147,0.034
1783584659.369975,96.7,91.2,14.167,15.529,86.179,2.289
1783584660.389731,97.0,91.7,14.248,15.529,82.721,2.107
1783584661.404967,98.2,91.4,14.192,15.529,41.193,18.184
1783584662.4205797,95.0,91.7,14.238,15.529,0.574,0.093
1783584663.4402099,94.6,89.6,13.914,15.529,4.85,0.165
1783584664.456363,95.7,89.3,13.861,15.529,0.663,0.131
1783584665.471815,96.0,89.0,13.818,15.529,3.966,0.354
1783584666.5249915,99.5,88.6,13.762,15.529,0.734,0.045
1783584667.5408614,98.5,87.0,13.515,15.529,0.616,157.147
1783584668.5577905,98.1,84.2,13.075,15.529,1.848,332.634
1783584669.5744019,98.4,82.3,12.781,15.529,29.4,199.994
1783584670.5926392,94.3,80.3,12.465,15.529,65.936,194.538
1783584671.6100533,96.4,78.4,12.17,15.529,37.629,242.949
1783584672.6263573,96.2,78.5,12.192,15.529,21.46,0.193
1783584673.6482499,94.1,78.7,12.217,15.529,14.732,1.051
1783584674.6688385,92.8,78.7,12.216,15.529,0.203,0.111
1783584675.6843195,96.6,78.7,12.229,15.529,2.05,0.215
1783584676.7007706,98.6,78.9,12.255,15.529,3.191,0.108
1783584677.7180488,92.5,79.0,12.262,15.529,0.411,0.473
1783584678.738309,95.8,79.1,12.278,15.529,372.828,0.061
1783584679.8000445,97.5,79.5,12.34,15.529,1.818,0.324
1783584680.8156571,93.9,79.6,12.363,15.529,1.012,0.154
1783584681.8324783,95.0,79.7,12.377,15.529,1.371,0.292
1783584682.8523421,96.2,79.7,12.382,15.529,0.223,174.668
1783584683.8729913,95.6,79.6,12.367,15.529,4.103,1.194
1783584684.892885,96.6,80.0,12.424,15.529,12.394,0.1
1783584685.9207091,97.5,80.1,12.443,15.529,1.345,0.589
1783584686.940635,98.0,80.3,12.463,15.529,1.797,0.031
1783584687.9573255,93.0,80.3,12.468,15.529,3.469,0.419
1783584688.9772222,92.1,80.4,12.482,15.529,0.502,0.134
1783584689.9931982,94.2,80.5,12.494,15.529,0.108,0.069
1783584691.0119348,93.4,80.6,12.519,15.529,0.548,0.142
1783584692.0279627,92.7,80.7,12.529,15.529,4.636,0.231
1783584693.044074,81.0,80.4,12.492,15.529,88.447,0.096
1783584694.0618536,93.6,80.4,12.487,15.529,48.434,0.019
1783584695.0794592,94.6,80.7,12.527,15.529,1.094,0.065
1783584696.099798,99.1,80.6,12.512,15.529,2.764,0.322
1783584697.11599,95.1,80.7,12.527,15.529,0.639,0.316
1783584698.1360035,95.7,80.6,12.523,15.529,0.586,0.138
1783584699.152829,95.4,80.8,12.549,15.529,0.069,0.065
1783584700.1666467,94.5,80.9,12.563,15.529,0.185,0.27
1783584701.1843638,97.4,80.9,12.559,15.529,18.397,0.065
1783584702.2019868,95.9,80.8,12.55,15.529,0.515,0.158
1783584703.2218134,93.8,80.9,12.569,15.529,2.819,0.015
1783584704.237526,95.5,81.3,12.627,15.529,0.554,4.061
1783584705.253932,95.1,81.2,12.603,15.529,4.504,0.219
1783584706.2703114,98.0,81.3,12.618,15.529,0.327,0.323
1783584707.2899492,95.2,81.3,12.631,15.529,0.211,0.227
1783584708.3104396,94.3,81.4,12.641,15.529,0.39,0.023
1783584709.327457,94.2,81.2,12.612,15.529,0.138,0.188
1783584710.3475106,95.1,81.3,12.628,15.529,0.065,0.402
1783584711.3673646,97.5,81.3,12.622,15.529,1.655,0.011
1783584712.3839934,94.8,81.3,12.626,15.529,2.629,206.785
1783584713.4031873,94.1,81.4,12.638,15.529,22.225,67.881
1783584714.4241455,92.9,81.5,12.652,15.529,49.927,0.482
1783584715.445202,96.2,81.9,12.721,15.529,78.52,0.145
1783584716.46516,96.5,82.5,12.817,15.529,26.495,0.027
1783584717.4824407,96.0,82.2,12.767,15.529,11.152,0.212
1783584718.5021346,95.2,82.4,12.793,15.529,0.425,0.161
1783584719.5187883,92.0,82.4,12.802,15.529,0.338,0.0
1783584720.539157,95.6,82.5,12.812,15.529,7.098,0.218
1783584721.5559902,97.4,82.7,12.836,15.529,115.893,50.882
1783584722.5798645,95.8,83.2,12.924,15.529,57.804,0.546
1783584723.6004,91.9,83.2,12.916,15.529,7.939,0.0
1783584724.6207488,86.7,83.3,12.94,15.529,3.767,0.107
1783584725.6428258,92.6,83.4,12.957,15.529,5.518,0.084
1783584726.660685,93.3,83.6,12.989,15.529,1.082,0.184
1783584727.6815758,87.5,83.7,12.992,15.529,2.809,125.576
1783584728.6994257,86.8,83.7,12.996,15.529,0.641,0.065
1783584729.71934,86.7,83.8,13.02,15.529,1.115,0.134
1783584730.7390306,86.9,83.8,13.018,15.529,0.391,0.08
1783584731.7587366,92.7,83.8,13.012,15.529,17.27,0.245
1783584732.77719,89.0,83.9,13.036,15.529,2.639,0.323
1783584733.7973824,91.2,84.0,13.047,15.529,6.402,0.237
1783584734.8131318,86.3,84.1,13.065,15.529,30.442,0.004
1783584735.8327951,85.5,84.3,13.089,15.529,57.683,1.218
1783584736.850705,95.2,84.4,13.108,15.529,37.282,4.663
1783584737.867815,94.8,84.4,13.1,15.529,14.633,13.692
1783584738.8847127,94.8,84.5,13.12,15.529,2.443,6.853
1783584739.9008486,94.2,84.6,13.134,15.529,0.396,14.02
1783584740.9175155,97.3,84.7,13.148,15.529,1.212,14.112
1783584741.9341276,93.4,84.2,13.082,15.529,1.226,7.354
1783584742.9540927,90.1,84.0,13.05,15.529,1.395,11.884
1783584743.9709225,86.9,84.1,13.057,15.529,4.168,0.3
1783584744.9910707,96.5,84.3,13.096,15.529,63.98,0.096
1783584746.007579,97.5,85.0,13.194,15.529,144.849,0.042
1783584747.0242858,90.3,86.3,13.408,15.529,364.491,0.0
1783584748.0378203,83.0,88.0,13.659,15.529,248.417,0.189
1783584749.0552855,82.6,87.7,13.624,15.529,196.842,0.161
1783584750.088441,83.2,87.6,13.607,15.529,168.76,0.507
1783584751.101246,82.8,87.3,13.563,15.529,38.048,0.22
1783584752.115446,83.4,88.9,13.8,15.529,212.587,0.196
1783584753.1286469,83.5,89.1,13.836,15.529,51.184,1.203
1783584754.1447806,94.7,89.4,13.878,15.529,18.971,0.169
1783584755.1636174,96.1,88.1,13.681,15.529,60.364,123.621
1783584756.2098446,92.6,88.3,13.711,15.529,20.255,0.037
1783584757.2276077,96.9,88.5,13.749,15.529,54.739,0.257
1783584758.2463505,92.4,88.6,13.761,15.529,51.41,273.775
1783584759.2669928,91.6,88.6,13.761,15.529,54.679,0.157
1783584760.2832632,85.6,88.6,13.766,15.529,32.916,0.542
1783584761.3034608,85.6,88.7,13.77,15.529,38.045,0.023
1783584762.3224013,87.2,88.8,13.79,15.529,2.683,0.276
1783584763.3452709,93.1,89.0,13.822,15.529,4.022,0.02
1783584764.3885508,96.0,89.3,13.868,15.529,119.202,0.12
1783584765.406322,90.6,89.4,13.887,15.529,19.69,0.073
1783584766.4232874,97.3,89.8,13.945,15.529,78.442,1.586
1783584767.4484391,90.2,90.0,13.974,15.529,8.543,0.054
1783584768.4693568,86.8,89.9,13.968,15.529,5.005,1.083
1783584769.489304,91.0,90.0,13.984,15.529,16.84,0.54
1783584770.5209205,86.9,90.1,13.993,15.529,12.096,0.117
1783584771.548946,82.8,90.4,14.042,15.529,22.957,0.004
1783584772.6149416,81.6,90.5,14.054,15.529,1.858,0.411
1783584773.6397147,82.7,90.3,14.028,15.529,0.72,128.565
1783584774.6609344,82.9,90.5,14.048,15.529,3.366,0.853
1783584775.7060513,83.1,90.7,14.081,15.529,1.065,0.123
1783584776.7267678,83.4,90.8,14.098,15.529,1.538,0.073
1783584777.7430744,82.9,90.8,14.103,15.529,1.553,0.319
1783584778.7592885,82.6,90.6,14.067,15.529,5.682,0.215
1783584779.8015451,82.6,90.7,14.087,15.529,15.946,0.12
1783584780.8251677,82.1,90.8,14.096,15.529,28.277,0.488
1783584781.8495748,79.5,90.8,14.096,15.529,36.996,0.324
1783584782.8763728,80.6,90.9,14.12,15.529,37.704,0.442
1783584783.9067369,83.1,90.9,14.12,15.529,12.037,0.064
1783584784.9238675,82.1,91.1,14.146,15.529,3.272,0.012
1783584785.958826,82.9,91.3,14.179,15.529,7.834,0.143
1783584787.0062664,83.5,91.3,14.184,15.529,1.958,1.197
1783584788.0203345,83.5,91.5,14.207,15.529,0.432,9.188
1783584789.035151,81.5,91.6,14.224,15.529,51.452,0.216
