timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783584110.6208804,13.5,89.5,13.904,15.529,125000.0,0.0
1783584111.631128,46.4,90.0,13.983,15.529,4.964,8.94
1783584112.6407404,50.4,90.0,13.983,15.529,0.461,29.959
1783584113.6535158,44.3,90.0,13.98,15.529,2.752,5.924
1783584114.6659658,58.5,90.0,13.981,15.529,2.03,0.336
1783584115.6771367,56.5,90.0,13.978,15.529,2.905,5.246
1783584116.6882248,50.6,89.9,13.96,15.529,4.895,4.945
1783584117.698795,62.5,89.4,13.877,15.529,2.946,4.964
1783584118.7180932,47.0,88.3,13.719,15.529,0.586,0.0
1783584119.7268422,65.5,87.9,13.643,15.529,0.706,4.02
1783584120.746009,63.4,87.6,13.6,15.529,2.047,4.473
1783584121.7545016,46.5,85.4,13.263,15.529,4.621,3.966
1783584122.763116,62.6,85.4,13.254,15.529,10.729,0.117
1783584123.7775114,64.4,82.9,12.874,15.529,0.732,3.943
1783584124.7887836,66.6,78.3,12.157,15.529,2.094,2.967
1783584125.8062046,71.8,77.3,11.999,15.529,1.094,3.083
1783584126.8179843,73.9,76.7,11.914,15.529,18.053,31.415
1783584127.83902,72.9,76.6,11.891,15.529,2.14,3.172
1783584128.8589807,82.6,76.4,11.865,15.529,90.92,3.313
1783584129.8738759,90.5,76.6,11.895,15.529,72.764,2.956
1783584130.8950167,96.7,77.7,12.072,15.529,0.868,0.031
1783584131.9119809,98.6,78.2,12.141,15.529,3.819,6.883
1783584132.9334927,98.9,78.2,12.145,15.529,18.417,3.106
1783584133.9562976,98.0,78.5,12.188,15.529,48.377,27.975
1783584134.977221,96.8,79.5,12.346,15.529,70.945,0.0
1783584136.0003433,98.5,79.6,12.354,15.529,53.551,1.955
1783584137.023085,94.9,79.9,12.404,15.529,61.389,1.956
1783584138.0391982,93.6,79.9,12.406,15.529,0.024,2.138
1783584139.0592678,93.8,79.9,12.414,15.529,0.199,0.337
1783584140.079776,94.6,80.2,12.454,15.529,2.488,2.163
1783584141.1017478,93.0,80.1,12.447,15.529,0.008,1.957
1783584142.123822,94.1,80.2,12.46,15.529,0.061,0.952
1783584143.1444824,97.2,80.0,12.43,15.529,0.54,0.043
1783584144.1642516,93.5,80.2,12.449,15.529,2.245,1.084
1783584145.1842356,92.7,80.5,12.501,15.529,31.107,1.972
1783584146.2044384,97.9,80.9,12.556,15.529,5.166,2.424
1783584147.224698,98.0,81.0,12.583,15.529,8.666,0.456
1783584148.2444577,95.8,81.2,12.607,15.529,8.972,2.0
