timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783580591.493373,12.2,92.6,14.374,15.529,85937.5,0.0
1783580592.502351,47.9,93.0,14.448,15.529,5.682,5.652
1783580593.512542,65.9,93.0,14.447,15.529,5.276,4.022
1783580594.5231807,47.8,92.8,14.413,15.529,3.319,3.397
1783580595.532555,54.3,92.7,14.402,15.529,1.669,0.144
1783580596.5480368,55.2,92.6,14.377,15.529,1.512,2.954
1783580597.5610986,44.7,92.5,14.37,15.529,0.632,2.961
1783580598.5703866,60.0,92.7,14.389,15.529,29.871,2.972
1783580599.581056,47.5,92.9,14.434,15.529,15.556,0.143
1783580600.5927227,70.0,92.8,14.415,15.529,11.39,2.985
1783580601.611154,87.5,92.4,14.345,15.529,0.777,3.111
1783580602.6306999,55.2,91.7,14.233,15.529,2.498,1.962
1783580603.6599789,51.1,91.7,14.246,15.529,2.444,0.0
1783580604.6754458,65.1,92.0,14.289,15.529,48.874,1.989
1783580605.686322,64.8,92.3,14.337,15.529,46.823,2.06
1783580606.7052093,75.1,89.5,13.897,15.529,13.978,2.017
1783580607.723077,68.1,89.2,13.852,15.529,12.119,0.0
1783580608.7388887,77.6,88.5,13.75,15.529,10.261,2.146
1783580609.7505229,63.6,87.1,13.523,15.529,3.244,1.993
1783580610.7615297,66.4,86.7,13.466,15.529,21.162,2.028
1783580611.773261,81.7,81.9,12.722,15.529,24.455,0.031
1783580612.7889376,66.5,81.6,12.674,15.529,0.635,1.969
1783580613.802055,71.0,79.5,12.341,15.529,1.157,3.061
1783580614.8133883,58.0,77.0,11.961,15.529,5.62,2.051
1783580615.8237598,57.6,75.4,11.708,15.529,4.448,165.437
1783580616.8360364,47.1,75.4,11.702,15.529,0.309,18.252
1783580617.8516312,51.2,75.4,11.709,15.529,2.127,0.119
1783580618.862701,53.1,75.6,11.738,15.529,4.346,0.209
1783580619.8776724,53.3,75.5,11.719,15.529,0.455,0.058
1783580620.8901908,55.3,75.6,11.736,15.529,26.51,1.817
1783580621.9010623,58.6,75.7,11.754,15.529,17.173,0.062
1783580622.9126718,53.4,75.8,11.779,15.529,0.815,0.212
1783580623.9237728,58.0,76.0,11.797,15.529,0.348,0.066
1783580624.9409075,66.4,76.8,11.919,15.529,99.765,0.158
1783580625.9540331,66.3,77.4,12.024,15.529,50.679,0.143
1783580626.9674354,47.0,77.5,12.033,15.529,2.717,0.089
1783580627.980859,45.2,77.5,12.039,15.529,0.135,0.0
1783580628.995971,54.7,77.7,12.06,15.529,20.671,0.327
1783580630.006128,49.7,77.5,12.032,15.529,22.313,0.283
1783580631.0230036,45.9,77.6,12.05,15.529,1.506,0.004
1783580632.0391412,53.6,78.0,12.115,15.529,0.062,0.012
1783580633.0559309,55.0,77.7,12.074,15.529,1.206,0.042
1783580634.0677416,53.5,77.7,12.065,15.529,0.351,0.112
1783580635.0815387,49.1,77.7,12.072,15.529,0.081,0.775
1783580636.1002257,44.9,77.8,12.086,15.529,0.628,0.153
1783580637.1102366,53.1,77.9,12.093,15.529,37.518,0.035
1783580638.1243773,44.9,78.2,12.144,15.529,0.25,0.015
1783580639.1373532,48.0,78.1,12.123,15.529,0.316,0.058
1783580640.1501477,46.9,78.3,12.163,15.529,0.521,0.101
1783580641.1593044,51.2,78.4,12.169,15.529,0.515,0.159
1783580642.175089,51.5,78.6,12.205,15.529,2.154,0.096
1783580643.1879842,56.2,78.8,12.237,15.529,1.5,0.0
1783580644.2016406,54.2,78.9,12.257,15.529,16.649,0.366
1783580645.2122488,54.7,78.7,12.216,15.529,39.161,0.089
1783580646.2277513,54.6,78.9,12.254,15.529,29.465,0.112
1783580647.2372267,48.5,79.0,12.266,15.529,0.534,0.062
1783580648.2523756,54.9,78.8,12.238,15.529,0.789,1.224
1783580649.2691793,54.6,78.9,12.252,15.529,4.925,2.908
1783580650.2849984,56.6,79.1,12.281,15.529,0.189,53.675
1783580651.3020055,51.1,79.1,12.289,15.529,0.902,0.0
1783580652.3178327,50.7,79.2,12.298,15.529,33.875,0.281
1783580653.3275578,53.9,79.4,12.335,15.529,7.374,0.046
1783580654.343749,50.4,79.8,12.392,15.529,0.373,0.196
1783580655.360886,47.1,79.5,12.351,15.529,0.25,0.158
1783580656.3735452,48.7,79.6,12.355,15.529,0.15,0.12
1783580657.389232,46.8,79.4,12.328,15.529,0.727,0.015
1783580658.3988726,44.4,79.5,12.349,15.529,0.12,0.015
1783580659.4100683,47.9,79.5,12.349,15.529,22.987,0.232
1783580660.4191191,44.5,79.6,12.364,15.529,12.81,0.051
1783580661.4286423,45.7,79.7,12.382,15.529,0.607,0.015
1783580662.4385524,55.7,80.3,12.47,15.529,66.347,0.081
1783580663.4492714,63.0,80.6,12.516,15.529,9.77,0.0
1783580664.46566,54.9,80.7,12.527,15.529,20.339,0.154
1783580665.483848,47.9,80.8,12.547,15.529,5.875,123.286
1783580666.4999685,48.0,80.5,12.497,15.529,10.882,0.05
1783580667.5189276,59.1,80.6,12.515,15.529,25.354,0.215
1783580668.5300465,51.6,80.7,12.532,15.529,0.282,0.015
1783580669.5432465,54.8,80.8,12.548,15.529,0.312,0.15
1783580670.5527103,53.7,80.9,12.558,15.529,0.376,0.024
1783580671.5646996,44.5,80.9,12.568,15.529,0.359,0.139
1783580672.635071,48.0,81.0,12.583,15.529,0.266,0.066
1783580673.644606,55.1,81.1,12.596,15.529,0.427,0.054
1783580674.6551073,39.3,81.1,12.596,15.529,29.612,0.097
1783580675.6642354,42.1,80.9,12.557,15.529,7.053,0.167
1783580676.6798394,37.8,80.9,12.57,15.529,0.415,0.423
1783580677.6928449,50.7,81.1,12.598,15.529,1.427,6.81
1783580678.704994,50.4,81.2,12.603,15.529,1.841,13.774
1783580679.7160664,45.3,81.6,12.672,15.529,0.131,7.093
1783580680.725709,47.1,81.4,12.636,15.529,2.017,112.772
1783580681.7357178,48.4,81.3,12.633,15.529,31.887,13.664
1783580682.7461822,41.5,80.8,12.554,15.529,7.175,6.73
1783580683.7662528,46.5,81.0,12.577,15.529,0.092,0.356
1783580684.7860582,50.8,81.2,12.605,15.529,0.437,0.41
1783580685.7983115,44.9,81.1,12.597,15.529,0.437,0.201
1783580686.8114736,42.2,81.3,12.625,15.529,0.135,0.0
1783580687.824304,39.3,81.4,12.641,15.529,0.112,0.131
1783580688.836811,40.7,81.8,12.701,15.529,17.633,0.015
1783580689.8467782,47.1,82.1,12.756,15.529,17.838,0.066
1783580690.8588061,41.2,82.5,12.81,15.529,0.004,0.093
1783580691.8699057,48.5,82.6,12.831,15.529,0.34,0.019
1783580692.8816774,42.3,82.7,12.849,15.529,0.162,0.108
1783580693.8964937,44.5,82.9,12.873,15.529,0.631,0.196
1783580694.9126487,40.6,82.8,12.865,15.529,0.557,0.273
1783580695.9235778,42.1,83.1,12.905,15.529,22.199,105.005
1783580696.933205,38.9,83.3,12.939,15.529,14.954,0.035
1783580697.9430919,46.0,83.7,12.995,15.529,8.552,0.015
1783580698.9585078,43.2,83.9,13.03,15.529,4.431,0.085
1783580699.9834204,39.9,84.0,13.042,15.529,0.252,0.076
1783580700.9985666,39.0,84.2,13.074,15.529,0.575,0.208
1783580702.013184,43.6,84.3,13.099,15.529,17.301,0.162
1783580703.0249305,44.7,84.5,13.129,15.529,14.484,0.0
1783580704.0383215,41.4,84.5,13.118,15.529,3.566,0.401
1783580705.0519416,35.1,84.5,13.127,15.529,0.617,0.062
1783580706.0674508,36.5,84.6,13.134,15.529,2.235,0.077
1783580707.0835779,41.0,84.6,13.139,15.529,0.381,0.054
1783580708.0930889,40.7,84.7,13.154,15.529,0.502,0.147
1783580709.1032457,39.4,84.7,13.151,15.529,21.22,2.367
1783580710.118549,41.5,84.9,13.18,15.529,15.166,0.246
1783580711.1341455,40.5,85.0,13.205,15.529,0.724,98.169
1783580712.1507661,43.9,85.1,13.22,15.529,6.167,0.123
1783580713.1625793,49.5,85.2,13.224,15.529,0.398,0.127
1783580714.1783698,44.3,85.3,13.249,15.529,4.222,0.058
1783580715.1951547,39.7,85.2,13.229,15.529,17.813,0.046
1783580716.210704,39.9,85.3,13.246,15.529,24.351,0.22
1783580717.2212493,37.7,85.4,13.263,15.529,0.947,0.101
1783580718.2378573,39.9,85.7,13.307,15.529,1.31,0.031
1783580719.2537742,39.9,85.8,13.33,15.529,0.308,0.127
1783580720.2684145,43.1,85.9,13.345,15.529,0.316,0.038
1783580721.284722,39.1,85.7,13.314,15.529,17.152,0.143
1783580722.2997003,44.4,85.9,13.342,15.529,22.284,0.069
1783580723.3129475,44.5,86.1,13.365,15.529,0.856,0.042
1783580724.3250976,44.9,86.1,13.366,15.529,4.361,0.135
1783580725.3383493,45.5,86.2,13.381,15.529,3.667,0.128
1783580726.3528192,40.1,86.2,13.38,15.529,0.658,151.241
1783580727.3690963,36.5,86.2,13.385,15.529,7.647,0.019
1783580728.3789687,40.6,86.3,13.395,15.529,23.135,0.012
