timestamp,cpu_percent,memory_percent,memory_used_gb,memory_total_gb,disk_read_mb_s,disk_write_mb_s
1783586419.8026829,11.3,92.5,14.36,15.529,11718.75,2007812.5
1783586420.8316224,41.8,92.9,14.423,15.529,37.27,5.862
1783586421.847831,46.3,92.9,14.422,15.529,9.737,29.699
1783586422.8640459,43.8,92.6,14.376,15.529,5.299,5.908
1783586423.8797677,50.4,92.5,14.371,15.529,15.076,0.365
1783586424.8961751,57.2,92.3,14.339,15.529,21.641,9.02
1783586425.9122984,76.3,92.6,14.387,15.529,49.383,4.559
1783586426.9377816,96.7,92.3,14.34,15.529,19.725,0.023
1783586427.9592092,98.2,92.4,14.349,15.529,73.821,4.914
1783586428.9926765,99.6,92.1,14.302,15.529,23.809,3.87
1783586430.011716,95.7,92.3,14.327,15.529,11.243,3.001
1783586431.0337744,96.2,92.5,14.359,15.529,52.399,3.516
1783586432.0545661,97.2,92.9,14.434,15.529,81.888,3.433
1783586433.0781755,90.6,93.4,14.506,15.529,67.435,2.935
1783586434.099956,97.0,93.8,14.569,15.529,71.765,2.986
1783586435.1206725,81.8,94.1,14.619,15.529,90.041,0.0
1783586436.1439116,87.3,94.6,14.697,15.529,88.071,3.356
1783586437.1615946,66.2,95.2,14.782,15.529,120.963,3.044
1783586438.1790755,63.6,95.5,14.823,15.529,117.385,3.125
1783586439.1967802,65.1,95.9,14.893,15.529,118.96,0.146
1783586440.2156062,81.5,96.2,14.945,15.529,154.498,2.017
1783586441.2359824,86.4,96.1,14.926,15.529,139.481,2.04
1783586442.2513967,76.4,95.7,14.857,15.529,146.858,2.386
1783586443.274153,69.3,96.3,14.951,15.529,133.6,0.004
1783586444.2911017,49.4,95.9,14.897,15.529,196.005,2.051
1783586445.3070765,62.2,94.2,14.635,15.529,141.107,2.034
1783586446.3255575,68.4,92.7,14.389,15.529,9.498,2.075
1783586447.3456612,77.2,92.2,14.313,15.529,12.104,0.429
1783586448.3649015,63.0,92.3,14.328,15.529,67.636,2.196
1783586449.38436,72.7,92.6,14.387,15.529,101.728,0.866
1783586450.3992608,67.1,92.8,14.408,15.529,70.723,1.363
1783586451.4175081,71.5,91.9,14.271,15.529,30.022,0.199
1783586452.4349566,70.5,91.3,14.173,15.529,3.97,4.262
1783586453.4577224,74.0,90.1,13.996,15.529,23.874,20.143
1783586454.474592,85.2,90.6,14.063,15.529,430.684,1.114
1783586455.5069597,65.8,91.0,14.128,15.529,50.985,0.832
1783586456.524481,62.9,91.2,14.161,15.529,89.956,0.438
1783586457.5429935,84.5,90.9,14.111,15.529,2.619,0.276
1783586458.563669,73.5,90.2,14.006,15.529,10.46,0.057
1783586459.5837162,77.5,89.3,13.874,15.529,3.561,5.886
1783586460.6022887,76.6,88.0,13.669,15.529,3.57,106.065
1783586461.62501,99.3,88.0,13.671,15.529,12.07,12.78
1783586462.6488163,92.4,87.5,13.593,15.529,74.112,1.496
1783586463.669303,96.6,87.2,13.543,15.529,45.191,0.214
