scenario,n,cpu_mean,cpu_std,cpu_p95_mean,memory_mean,memory_peak_max
1-node,5,45.98430903330328,0.8998024862088243,65.63199999999999,85.66983530585875,96.8
1-node-4c,5,60.80800310768403,1.1449243089994543,80.871,86.11180857984093,96.2
1-node-8c,5,80.98887307806682,0.25129458263344506,97.859,87.2160183760262,96.9
2-node,5,74.46988858135002,3.526002233378266,95.736,91.00064672645912,100.0
3-node,5,75.94018907047239,3.645100193709233,99.6,94.74228536297979,100.0
