workload,scenario,n,extract_seconds_mean,extract_seconds_std,extract_seconds_median,extract_seconds_q1,extract_seconds_q3,transform_seconds_mean,transform_seconds_std,transform_seconds_median,transform_seconds_q1,transform_seconds_q3,load_seconds_mean,load_seconds_std,load_seconds_median,load_seconds_q1,load_seconds_q3,total_seconds_mean,total_seconds_std,total_seconds_median,total_seconds_q1,total_seconds_q3
Compact,1-node,5,239.88902925180736,11.443598017557456,243.4046484680148,231.88693243800665,246.18384621900623,21.822721861401806,0.6205188263927911,21.792777259019203,21.48856615301338,21.90047577797668,5.5565435928059745,0.42558456376801773,5.627895779005485,5.158410591015127,5.762019649002468,267.2682947060151,11.872313821608921,271.3202450920362,259.0033943700255,272.47731646403554
Compact,1-node-4c,5,213.00307813680266,8.900063389925675,209.6213401830173,209.59434532598243,210.6285475490149,20.185106083407298,2.4866028996092515,18.99902503300109,18.860833704995457,20.02409710601205,6.029884180397493,0.40298311099072465,6.036577818973456,5.837997610011371,6.359172316995682,239.21806840060745,11.633945799026982,234.4313679689949,234.18051601099432,237.01181697202264
Compact,1-node-8c,5,180.12044051139384,2.7419840887481874,180.67448186699767,178.05445314900135,181.67571413499536,18.74806842380203,2.6247749637171203,17.503247043001465,16.93691121399752,21.20712076901691,5.94148585179355,0.942853866387993,5.640756415989017,5.619828385999426,6.03410819201963,204.80999478698942,2.853644365671777,204.81971759398584,204.60862701496808,205.38278952997644
Compact,2-node,5,194.5484767355956,6.369957359232286,193.98057001500277,189.69147672099643,200.8671285059827,25.596874668198872,1.227213288247807,25.44543099499424,24.748546435992463,26.528734605002683,6.695052148797549,0.6699068332806781,6.583429235994117,6.172142195980996,6.853893750987481,226.84040355259202,5.05820608684836,227.9503777299833,221.7203369519848,231.11787435101
Compact,3-node,5,276.05926992199966,26.361632018910104,280.47710720897885,255.33837893101736,283.960601157014,36.782485443603946,5.451140117231889,34.283190062007634,32.7782476900029,39.6041633390123,7.904163586208597,0.9153439820860787,7.94243783398997,7.401199559011729,8.499963422014844,320.7459189518122,30.493056922217573,319.9249022259901,296.064903778024,331.5072023300163
Timeseries,1-node,5,256.6725793643971,7.85297497274493,256.6513896360412,251.49245943396815,257.02842967095785,28.04651529979892,0.7835480346491933,27.96235029300442,27.575144975970037,28.40629602200352,20.900724321603775,0.7314759420636204,20.88276368996594,20.71778368600644,21.32914595201146,305.6198189857998,8.117556632388661,305.4863383368938,299.0650087069953,306.5328583910596
Timeseries,1-node-4c,5,245.21816124259493,10.530994089212776,250.21988783800043,234.02798775298288,253.02979201101695,26.203908968798352,0.35590745586834893,26.34751084301388,26.025326195987876,26.483002774009947,20.067303525423632,0.3671659951331986,20.017792758008,19.92644467903301,20.101465721032586,291.4893737368169,10.885139207139115,296.7357531589805,279.97975862800376,300.1599905740586
Timeseries,1-node-8c,5,210.05847757760202,15.114099004472953,205.4478277110029,202.9302603279939,205.7137238400173,29.946704051212873,8.392046845320737,26.26325518701924,26.01046141301049,26.746997728012506,23.93972710580565,6.791841389172176,21.053883326007053,20.11861487600254,22.487782309006437,263.9449087346205,30.128709617267376,251.79995449003763,248.81684257701272,254.19886520702855
Timeseries,2-node,5,229.011080165382,12.658570817422666,228.6736953909858,220.77393740799744,235.27460447198249,35.25055351139745,4.953135179219947,33.64047846395988,32.44783139100764,34.16381778899813,27.40445659260731,10.587342062897791,21.6032573680277,21.335906193009578,26.9771399339661,291.66609026938676,24.118513905734304,282.3030290840543,274.4846301300568,306.22630799392937
Timeseries,3-node,5,357.1249670236022,81.41382927340673,340.3370807470056,323.0718972660252,370.4428705699975,78.51960169161903,25.642621763911265,71.06385238998337,69.8998903700267,78.63922763004666,41.16214218999958,27.407909115862825,28.80010322900489,28.03998734097695,34.15313204599079,476.8067109052208,132.9850886790029,440.2010363659938,421.0117749770288,483.2352302460349
