scenario,run_id,node_count,spark_master,input_format,extract_seconds,transform_seconds,load_seconds,total_seconds,feature_rows,resource_log
1-node,r01,1,local[*],parquet,171.95534383700033,17.741031334999207,6.461240499998894,196.15761567199843,58976,outputs\logs\resource_usage_1-node_r01.csv
1-node,r02,1,local[*],parquet,186.18668915000126,16.26841676299955,5.179135288999532,207.63424120200034,58976,outputs\logs\resource_usage_1-node_r02.csv
1-node,r03,1,local[*],parquet,198.98451512800057,17.983579583999017,8.158810941999036,225.12690565399862,58976,outputs\logs\resource_usage_1-node_r03.csv
1-node,r04,1,local[*],parquet,229.2402211289991,25.17813610200028,7.110164636000263,261.52852186699965,58976,outputs\logs\resource_usage_1-node_r04.csv
1-node,r05,1,local[*],parquet,207.21573792900017,30.06302087899894,10.782690715999706,248.06144952399882,58976,outputs\logs\resource_usage_1-node_r05.csv
2-node,r01,2,spark://spark-master:7077,parquet,235.8095139550005,61.320058762999906,38.79627332600103,335.92584604400145,58976,outputs\logs\resource_usage_2-node_r01.csv
2-node,r02,2,spark://spark-master:7077,parquet,218.63521635899997,33.67982617300004,7.797976797000956,260.11301932900096,58976,outputs\logs\resource_usage_2-node_r02.csv
2-node,r03,2,spark://spark-master:7077,parquet,224.63390099199933,30.023493089000112,8.941827835998993,263.59922191699843,58976,outputs\logs\resource_usage_2-node_r03.csv
2-node,r04,2,spark://spark-master:7077,parquet,214.44838017999973,31.87912828499975,7.216353469999376,253.54386193499886,58976,outputs\logs\resource_usage_2-node_r04.csv
2-node,r05,2,spark://spark-master:7077,parquet,231.50871167800142,28.827521237999463,8.391378412999984,268.72761132900087,58976,outputs\logs\resource_usage_2-node_r05.csv
3-node,r01,3,spark://spark-master:7077,parquet,258.3989357949995,46.40070613700118,8.805247039999813,313.6048889720005,58976,outputs\logs\resource_usage_3-node_r01.csv
3-node,r02,3,spark://spark-master:7077,parquet,229.34159040099985,32.88797459399939,8.08514580100018,270.3147107959994,58976,outputs\logs\resource_usage_3-node_r02.csv
3-node,r03,3,spark://spark-master:7077,parquet,267.2830792980003,36.193706561,9.638002932000745,313.11478879100105,58976,outputs\logs\resource_usage_3-node_r03.csv
3-node,r04,3,spark://spark-master:7077,parquet,243.73708686899954,34.88651123800082,8.733773502000986,287.35737160900135,58976,outputs\logs\resource_usage_3-node_r04.csv
3-node,r05,3,spark://spark-master:7077,parquet,258.03090249199886,36.958823215998564,8.127681499001483,303.1174072069989,58976,outputs\logs\resource_usage_3-node_r05.csv
