scenario,run_id,node_count,spark_master,input_format,extract_seconds,transform_seconds,load_seconds,total_seconds,feature_rows,resource_log
1-node,r01,1,local[2],parquet,235.1345438560238,23.25121465200209,6.119003817992052,264.50476232601795,58976,outputs\logs\resource_usage_1-node_r01.csv
1-node,r02,1,local[2],parquet,288.2858303379908,28.550093744997866,6.472519489994738,323.3084435729834,58976,outputs\logs\resource_usage_1-node_r02.csv
1-node,r03,1,local[2],parquet,292.7324244720221,26.685075148998294,7.666771666001296,327.0842712870217,58976,outputs\logs\resource_usage_1-node_r03.csv
1-node,r04,1,local[2],parquet,288.1628062679956,24.23343496499001,6.614878218009835,319.01111945099547,58976,outputs\logs\resource_usage_1-node_r04.csv
1-node,r05,1,local[2],parquet,280.20608550999896,23.8023157499847,6.248151476989733,310.2565527369734,58976,outputs\logs\resource_usage_1-node_r05.csv
2-node,r01,2,spark://spark-master:7077,parquet,195.1072163930221,35.117942220007535,7.358485759003088,237.58364437203272,58976,outputs\logs\resource_usage_2-node_r01.csv
2-node,r02,2,spark://spark-master:7077,parquet,204.5840808840003,25.06576576299267,6.710625061998144,236.3604717089911,58976,outputs\logs\resource_usage_2-node_r02.csv
2-node,r03,2,spark://spark-master:7077,parquet,194.18805841499125,27.009224353998434,7.262282774987398,228.45956554397708,58976,outputs\logs\resource_usage_2-node_r03.csv
2-node,r04,2,spark://spark-master:7077,parquet,206.74766007700237,28.153705664997688,9.006298828986473,243.90766457098653,58976,outputs\logs\resource_usage_2-node_r04.csv
2-node,r05,2,spark://spark-master:7077,parquet,203.9695870949945,26.868486902996665,7.59770163698704,238.4357756349782,58976,outputs\logs\resource_usage_2-node_r05.csv
3-node,r01,3,spark://spark-master:7077,parquet,471.235343103006,87.15249388798838,11.077592327987077,569.4654293189815,58976,outputs\logs\resource_usage_3-node_r01.csv
3-node,r02,3,spark://spark-master:7077,parquet,233.93988450200413,34.03133393297321,7.261567043984542,275.2327854789619,58976,outputs\logs\resource_usage_3-node_r02.csv
3-node,r03,3,spark://spark-master:7077,parquet,266.4600722419855,33.28737923200242,12.83908892099862,312.5865403949865,58976,outputs\logs\resource_usage_3-node_r03.csv
3-node,r04,3,spark://spark-master:7077,parquet,256.02022787500755,34.19690628000535,7.07058979399153,297.28772394900443,58976,outputs\logs\resource_usage_3-node_r04.csv
3-node,r05,3,spark://spark-master:7077,parquet,233.16182888799813,32.870906314987224,6.80007569299778,272.83281089598313,58976,outputs\logs\resource_usage_3-node_r05.csv
